10AA; C; 2D0A
10AB; C; 2D0B
10AC; C; 2D0C
10AD; C; 2D0D
10AE; C; 2D0E
10AF; C; 2D0F
10B0; C; 2D10
10B1; C; 2D11
10B2; C; 2D12
10B3; C; 2D13
10B4; C; 2D14
10B5; C; 2D15
10B6; C; 2D16
10B7; C; 2D17
10B8; C; 2D18
10B9; C; 2D19
10BA; C; 2D1A
10BB; C; 2D1B
10BC; C; 2D1C
10BD; C; 2D1D
10BE; C; 2D1E
10BF; C; 2D1F
10C0; C; 2D20
10C1; C; 2D21
10C2; C; 2D22
10C3; C; 2D23
10C4; C; 2D24
10C5; C; 2D25
10C7; C; 2D27
10CD; C; 2D2D
13F8; C; 13F0
13F9; C; 13F1
13FA; C; 13F2
13FB; C; 13F3
13FC; C; 13F4
13FD; C; 13F5
1C80; C; 0432
1C81; C; 0434
1C82; C; 043E
1C83; C; 0441
1C84; C; 0442
1C85; C; 0442
1C86; C; 044A
1C87; C; 0463
1C88; C; A64B
1C90; C; 10D0
1C91; C; 10D1
1C92; C; 10D2
1C93; C; 10D3
1C94; C; 10D4
1C95; C; 10D5
1C96; C; 10D6
1C97; C; 10D7
1C98; C; 10D8
1C99; C; 10D9
1C9A; C; 10DA
1C9B; C; 10DB
1C9C; C; 10DC
1C9D; C; 10DD
1C9E; C; 10DE
1C9F; C; 10DF
1CA0; C; 10E0
1CA1; C; 10E1
1CA2; C; 10E2
1CA3; C; 10E3
1CA4; C; 10E4
1CA5; C; 10E5
1CA6; C; 10E6
1CA7; C; 10E7
1CA8; C; 10E8
1CA9; C; 10E9
1CAA; C; 10EA
1CAB; C; 10EB
1CAC; C; 10EC
1CAD; C; 10ED
1CAE; C; 10EE
1CAF; C; 10EF
1CB0; C; 10F0
1CB1; C; 10F1
1CB2; C; 10F2
1CB3; C; 10F3
1CB4; C; 10F4
1CB5; C; 10F5
1CB6; C; 10F6
1CB7; C; 10F7
1CB8; C; 10F8
1CB9; C; 10F9
1CBA; C; 10FA
1CBD; C; 10FD
1CBE; C; 10FE
1CBF; C; 10FF
1E00; C; 1E01
1E02; C; 1E03
1E04; C; 1E05
1E06; C; 1E07
1E08; C; 1E09
1E0A; C; 1E0B
1E0C; C; 1E0D
1E0E; C; 1E0F
1E10; C; 1E11
1E12; C; 1E13
1E14; C; 1E15
1E16; C; 1E17
1E18; C; 1E19
1E1A; C; 1E1B
1E1C; C; 1E1D
1E1E; C; 1E1F
1E20; C; 1E21
1E22; C; 1E23
1E24; C; 1E25
1E26; C; 1E27
1E28; C; 1E29
1E2A; C; 1E2B
1E2C; C; 1E2D
1E2E; C; 1E2F
1E30; C; 1E31
1E32; C; 1E33
1E34; C; 1E35
1E36; C; 1E37
1E38; C; 1E39
1E3A; C; 1E3B
1E3C; C; 1E3D
1E3E; C; 1E3F
1E40; C; 1E41
1E42; C; 1E43
1E44; C; 1E45
1E46; C; 1E47
1E48; C; 1E49
1E4A; C; 1E4B
1E4C; C; 1E4D
1E4E; C; 1E4F
1E50; C; 1E51
1E52; C; 1E53
1E54; C; 1E55
1E56; C; 1E57
1E58; C; 1E59
1E5A; C; 1E5B
1E5C; C; 1E5D
1E5E; C; 1E5F
1E60; C; 1E61
1E62; C; 1E63
1E64; C; 1E65
1E66; C; 1E67
1E68; C; 1E69
1E6A; C; 1E6B
